,0
457,Lipids_NEG_800.5594_354.0673_299.5396
458,Lipids_NEG_427.2152_43.2508_215.6402
459,Lipids_POS_927.4245_303.1198_347.5367
460,Lipids_NEG_764.5437_328.1494_299.7652
461,Lipids_NEG_914.6098_366.6325_335.4646
462,Lipids_POS_806.6342_354.6529_321.9047
463,Lipids_POS_878.8073_464.3526_340.8640
464,Lipids_POS_904.7593_399.4825_339.0541
465,Lipids_NEG_771.1145_294.7779_269.9069
466,Lipids_NEG_893.1557_385.4269_294.1875
467,Lipids_POS_1116.2409_445.3931_323.8511
468,Lipids_NEG_622.3329_166.6318_266.8230
469,Lipids_POS_865.8947_322.2429_323.8872
470,Lipids_POS_572.4362_140.8889_243.7191
471,Lipids_POS_850.5935_303.8360_318.9576
472,Lipids_NEG_1027.8310_524.4155_378.2690
473,Lipids_NEG_862.5819_301.7128_316.5692
474,Lipids_POS_974.8143_440.3010_359.1055
475,Lipids_POS_860.6123_358.8290_321.2616
476,Lipids_POS_756.6320_370.5366_305.5952
477,Lipids_NEG_899.6477_370.8977_338.1895
478,Lipids_NEG_860.5625_346.1446_324.0640
479,Lipids_NEG_742.7867_333.3215_283.7843
480,Lipids_NEG_857.5197_256.1125_322.6314
481,Lipids_NEG_498.2618_140.3377_224.4095
482,Lipids_POS_777.6118_399.6477_317.1782
483,Lipids_NEG_203.0015_37.9252_137.0085
484,Lipids_NEG_810.5280_307.8308_305.5846
485,Lipids_POS_989.8111_419.8390_359.3105
486,Lipids_POS_369.3506_402.8189_304.4750
487,Lipids_NEG_1266.2263_437.1012_354.2120
488,Lipids_POS_930.4932_272.2523_318.7479
489,Lipids_POS_687.5684_370.4062_304.4680
490,Lipids_NEG_896.1817_377.3342_295.1632
491,Lipids_NEG_297.2437_181.0794_184.3261
492,Lipids_NEG_913.6615_390.7528_341.5295
493,Lipids_POS_796.5814_348.2405_468.1701
494,Lipids_POS_862.6351_370.1945_324.8159
495,Lipids_NEG_939.7206_434.3734_342.1151
496,Lipids_NEG_539.4100_322.2103_267.1253
497,Lipids_POS_710.3624_280.0453_270.0478
498,Lipids_NEG_818.5820_333.5629_309.8455
499,Lipids_NEG_1188.2515_506.5531_340.4785
500,Lipids_NEG_717.1036_311.6661_258.7334
501,Lipids_POS_828.6082_313.5686_313.4983
502,Lipids_NEG_1023.6946_400.9631_354.1995
503,Lipids_NEG_1574.1374_333.6337_473.8733
504,Lipids_POS_907.3482_268.7497_326.1506
505,Lipids_NEG_630.3409_163.7197_263.2723
506,Lipids_NEG_883.5338_305.7370_311.9792
507,Lipids_NEG_890.5911_325.7673_322.6151
508,Lipids_POS_566.4538_283.8195_264.6597
509,Lipids_NEG_666.6030_393.0018_289.4334
510,Lipids_NEG_901.7350_429.8338_336.8462
511,Lipids_POS_571.4708_416.9826_261.4130
512,Lipids_POS_1938.7714_447.4864_622.3297
513,Lipids_NEG_806.5997_397.6340_305.4278
514,Lipids_NEG_626.3460_155.2144_261.9782
515,Lipids_POS_692.4481_201.5132_275.0872
516,Lipids_POS_312.3252_207.5235_196.5022
517,Lipids_NEG_976.6602_376.0952_345.7964
518,Lipids_NEG_970.8799_490.5649_361.0553
519,Lipids_NEG_934.6131_344.1518_336.7830
520,Lipids_POS_798.5635_296.8500_302.0613
521,Lipids_POS_1634.2424_358.7772_504.7474
522,Lipids_POS_1290.2737_521.5649_346.7749
523,Lipids_POS_943.8085_418.2570_352.7645
524,Lipids_NEG_1030.7403_380.6039_350.5079
525,Lipids_POS_776.5793_328.7964_310.7333
526,Lipids_POS_945.8016_479.7232_361.9912
527,Lipids_NEG_1133.8953_430.6338_383.8978
528,Lipids_POS_522.4907_184.4333_478.3535
529,Lipids_NEG_701.0720_421.9091_260.9054
530,Lipids_POS_1592.1598_336.2876_485.7718
531,Lipids_POS_721.5842_319.3254_306.5758
532,Lipids_NEG_256.2360_466.3121_176.6862
533,Lipids_NEG_936.5924_339.9878_336.2378
534,Lipids_NEG_697.5031_331.7063_281.0111
535,Lipids_POS_358.3677_220.7074_217.4493
536,Lipids_NEG_780.5268_304.4950_297.8531
537,Lipids_NEG_990.6756_376.2081_348.4439
538,Lipids_POS_680.4487_218.5955_274.1137
539,Lipids_POS_947.0653_424.5587_351.0190
540,Lipids_NEG_709.5251_314.2617_287.7198
541,Lipids_POS_936.7512_391.4346_346.0564
542,Lipids_POS_390.2758_345.8705_208.7315
543,Lipids_POS_844.9187_351.3591_326.0356
544,Lipids_POS_762.8521_364.0985_305.5935
